BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASE-MENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,5649,,R4,"333 RECTOR PLACE, 511",511,10280.0,1.0,0.0,1.0,0,860.0,1985.0,2,R4,905000,2019-02-01
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,222,1207,,R4,"443 GREENWICH STREET, 1G",1G,10013.0,1.0,0.0,1.0,"35,127",2811.0,1905.0,2,R4,6053000,2019-02-01
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1549,,R4,"101 WARREN STREET, 11J",11J,10007.0,1.0,0.0,1.0,0,1650.0,2006.0,2,R4,3250000,2019-02-05
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1923,,R4,"111 MURRAY STREET, 44B",44B,10007.0,1.0,0.0,1.0,0,1666.0,2016.0,2,R4,5150000,2019-02-05
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,214,1221,,R4,"7 HUBERT STREET, 6B",6B,10013.0,1.0,0.0,1.0,"19,282",4016.0,2004.0,2,R4,12750000,2019-02-05
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1915,,R4,"111 MURRAY STREET, 41W",41W,10007.0,1.0,0.0,1.0,0,2279.0,2016.0,2,R4,9164250,2019-02-07
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,212,1406,,R4,"11 BEACH STREET, 3A",3A,10013.0,1.0,0.0,1.0,"11,213",3844.0,1900.0,2,R4,6761138,2019-02-07
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,217,1234,,R4,"250 WEST STREET, 4G",4G,10013.0,1.0,0.0,1.0,"26,566",1973.0,1906.0,2,R4,4050000,2019-02-07
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,3103,,R4,"280 RECTOR PLACE, 8I",8I,10280.0,1.0,0.0,1.0,0,625.0,0.0,2,R4,1360000,2019-02-08
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,3764,,R4,"2 RIVER TERRACE, 15A",15A,10282.0,1.0,0.0,1.0,0,1524.0,2006.0,2,R4,2495000,2019-02-08
